"Kode Kecamatan
Kemendagri";"Kode Kecamatan
BPS";Kecamatan;SMP/MTS NEGERI_A;SMP/MTS NEGERI_B;SMP/MTS NEGERI_C;SMP/MTS NEGERI_NonAkred;SMP/MTS SWASTA_A;SMP/MTS SWASTA_B;SMP/MTS SWASTA_C;SMP/MTS SWASTA_NonAkred;Periode;Tahun
357814;3578150;TANDES;1;0;0;0;7;5;1;1;Desember;2025
357827;3578160;SUKOMANUNGGAL;4;0;0;0;6;8;0;0;Desember;2025
357806;3578170;SAWAHAN;1;0;0;0;8;3;1;1;Desember;2025
357805;3578180;TEGALSARI;2;0;0;0;4;3;0;0;Desember;2025
357807;3578190;GENTENG;4;0;0;0;4;3;0;1;Desember;2025
357810;3578200;TAMBAKSARI;2;0;0;0;8;8;2;0;Desember;2025
357817;3578210;KENJERAN;5;0;0;0;6;6;2;2;Desember;2025
357829;3578211;BULAK;3;0;0;0;3;1;0;0;Desember;2025
357811;3578220;SIMOKERTO;2;0;0;0;5;5;0;0;Desember;2025
357816;3578230;SEMAMPIR;2;0;0;1;4;15;2;2;Desember;2025
357812;3578240;PABEAN CANTIAN;2;0;0;0;2;2;0;0;Desember;2025
357813;3578250;BUBUTAN;1;0;0;0;4;3;0;0;Desember;2025
357815;3578260;KREMBANGAN;4;0;0;0;11;3;0;1;Desember;2025
357828;3578270;ASEM ROWO;1;0;0;0;2;0;1;2;Desember;2025
357819;3578280;BENOWO;4;0;0;0;1;1;0;0;Desember;2025
357830;3578281;PAKAL;2;0;0;0;6;3;1;1;Desember;2025
357801;3578010;KARANG PILANG;2;0;0;1;4;2;0;0;Januari;2026
357823;3578020;JAMBANGAN;4;0;0;0;3;2;0;1;Januari;2026
357822;3578030;GAYUNGAN;1;0;0;0;4;0;0;0;Januari;2026
357802;3578040;WONOCOLO;2;0;0;0;6;0;0;1;Januari;2026
357824;3578050;TENGGILIS MEJOYO;2;0;0;0;5;0;0;0;Januari;2026
357825;3578060;GUNUNG ANYAR;1;0;0;0;5;3;0;1;Januari;2026
357803;3578070;RUNGKUT;4;0;0;0;5;1;0;2;Januari;2026
357809;3578080;SUKOLILO;5;0;0;0;10;3;0;1;Januari;2026
357826;3578090;MULYOREJO;1;0;0;0;12;2;0;0;Januari;2026
357808;3578100;GUBENG;1;0;0;0;9;3;0;0;Januari;2026
357804;3578110;WONOKROMO;3;0;0;1;9;8;0;0;Januari;2026
357821;3578120;DUKUH PAKIS;1;0;0;0;8;3;0;1;Januari;2026
357820;3578130;WIYUNG;4;0;0;0;4;3;0;0;Januari;2026
357818;3578140;LAKARSANTRI;3;0;0;0;8;1;0;3;Januari;2026
357831;3578141;SAMBIKEREP;2;0;0;0;10;6;0;2;Januari;2026
357814;3578150;TANDES;1;0;0;0;7;5;1;1;Januari;2026
357827;3578160;SUKOMANUNGGAL;4;0;0;0;6;8;0;0;Januari;2026
357806;3578170;SAWAHAN;1;0;0;0;8;3;1;1;Januari;2026
357805;3578180;TEGALSARI;2;0;0;0;4;3;0;0;Januari;2026
357807;3578190;GENTENG;4;0;0;0;4;3;0;1;Januari;2026
357810;3578200;TAMBAKSARI;2;0;0;0;8;8;2;0;Januari;2026
357817;3578210;KENJERAN;5;0;0;0;6;6;3;1;Januari;2026
357829;3578211;BULAK;3;0;0;0;3;1;0;0;Januari;2026
357811;3578220;SIMOKERTO;2;0;0;0;5;5;0;0;Januari;2026
357816;3578230;SEMAMPIR;2;0;0;1;5;14;2;2;Januari;2026
357812;3578240;PABEAN CANTIAN;2;0;0;0;2;2;0;0;Januari;2026
357813;3578250;BUBUTAN;1;0;0;0;4;3;0;0;Januari;2026
357815;3578260;KREMBANGAN;4;0;0;0;11;3;0;1;Januari;2026
357828;3578270;ASEM ROWO;1;0;0;0;2;0;1;2;Januari;2026
357819;3578280;BENOWO;4;0;0;0;1;1;0;0;Januari;2026
357830;3578281;PAKAL;2;0;0;0;6;3;1;1;Januari;2026
357801;3578010;KARANG PILANG;2;0;0;1;4;2;0;0;Februari;2026
357823;3578020;JAMBANGAN;4;0;0;0;3;2;0;1;Februari;2026
357822;3578030;GAYUNGAN;1;0;0;0;4;0;0;0;Februari;2026
357802;3578040;WONOCOLO;2;0;0;0;6;0;0;1;Februari;2026
357824;3578050;TENGGILIS MEJOYO;2;0;0;0;5;0;0;0;Februari;2026
357825;3578060;GUNUNG ANYAR;1;0;0;0;5;3;0;1;Februari;2026
357803;3578070;RUNGKUT;4;0;0;0;5;1;0;2;Februari;2026
357809;3578080;SUKOLILO;5;0;0;0;10;3;0;1;Februari;2026
357826;3578090;MULYOREJO;1;0;0;0;12;2;0;0;Februari;2026
357808;3578100;GUBENG;1;0;0;0;9;3;0;0;Februari;2026
357804;3578110;WONOKROMO;3;0;0;1;9;8;0;0;Februari;2026
357821;3578120;DUKUH PAKIS;1;0;0;0;8;3;0;1;Februari;2026
357820;3578130;WIYUNG;4;0;0;0;5;2;0;0;Februari;2026
357818;3578140;LAKARSANTRI;3;0;0;0;8;1;0;3;Februari;2026
357831;3578141;SAMBIKEREP;2;0;0;0;10;6;0;2;Februari;2026
357814;3578150;TANDES;1;0;0;0;8;4;1;1;Februari;2026
357827;3578160;SUKOMANUNGGAL;4;0;0;0;6;8;0;0;Februari;2026
357806;3578170;SAWAHAN;1;0;0;0;8;3;1;1;Februari;2026
357805;3578180;TEGALSARI;2;0;0;0;4;3;0;0;Februari;2026
357807;3578190;GENTENG;4;0;0;0;4;3;0;1;Februari;2026
357810;3578200;TAMBAKSARI;2;0;0;0;8;8;2;0;Februari;2026
357817;3578210;KENJERAN;5;0;0;0;6;6;3;1;Februari;2026
357829;3578211;BULAK;3;0;0;0;3;1;0;0;Februari;2026
357811;3578220;SIMOKERTO;2;0;0;0;5;5;0;0;Februari;2026
357816;3578230;SEMAMPIR;2;0;0;1;5;14;2;2;Februari;2026
357812;3578240;PABEAN CANTIAN;2;0;0;0;2;2;0;0;Februari;2026
357813;3578250;BUBUTAN;1;0;0;0;4;3;0;0;Februari;2026
357815;3578260;KREMBANGAN;4;0;0;0;11;3;0;1;Februari;2026
357828;3578270;ASEMROWO;1;0;0;0;2;0;1;2;Februari;2026
357819;3578280;BENOWO;4;0;0;0;1;1;0;0;Februari;2026
357830;3578281;PAKAL;2;0;0;0;5;4;1;1;Februari;2026
